fpr,tpr
0.0,0.0
0.0,2.1192277534066587e-05
0.0,0.00086888337889673
0.000125,0.00086888337889673
0.000125,0.0015258439824527943
0.00025,0.0015258439824527943
0.00025,0.0017589590353275268
0.000375,0.0017589590353275268
0.000375,0.0026066501366901903
0.0005,0.0026066501366901903
0.0005,0.0032424184627121875
0.000625,0.0032424184627121875
0.000625,0.0040477250090067175
0.00075,0.0040477250090067175
0.00075,0.004641108779960583
0.000875,0.004641108779960583
0.000875,0.005721914934197978
0.001,0.005721914934197978
0.001,0.005912645432004577
0.001125,0.005912645432004577
0.001125,0.007925911797740904
0.00125,0.007925911797740904
0.00125,0.008286180515820035
0.001375,0.008286180515820035
0.001375,0.009409371225125564
0.001375,0.009451755780193697
0.001375,0.00955771716786403
0.0015,0.00955771716786403
0.0015,0.009896793608409095
0.001625,0.009896793608409095
0.001625,0.010320639159090428
0.00175,0.010320639159090428
0.00175,0.01123190709305529
0.001875,0.01123190709305529
0.001875,0.012355097802360819
0.002,0.012355097802360819
0.002,0.012439866912497086
0.002125,0.012439866912497086
0.002125,0.013796172674677348
0.00225,0.013796172674677348
0.00225,0.014135249115222412
0.002375,0.014135249115222412
0.002375,0.014792209718778477
0.0025,0.014792209718778477
0.0025,0.014876978828914743
0.002625,0.014876978828914743
0.002625,0.01644520736643567
0.00275,0.01644520736643567
0.00275,0.017038591137389536
0.002875,0.017038591137389536
0.002875,0.018098205014092865
0.003,0.018098205014092865
0.003,0.01900947294805773
0.003125,0.01900947294805773
0.003125,0.020598893763112722
0.00325,0.020598893763112722
0.00325,0.021955199525292984
0.00325,0.021997584080361118
0.00325,0.02203996863542925
0.003375,0.02203996863542925
0.003375,0.023311505287473246
0.0035,0.023311505287473246
0.0035,0.023438658952677643
0.003625,0.023438658952677643
0.003625,0.02352342806281391
0.003625,0.023565812617882043
0.003625,0.023862504503358976
0.00375,0.023862504503358976
0.00375,0.024349926886642507
0.003875,0.024349926886642507
0.003875,0.026363193252378833
0.004,0.026363193252378833
0.004,0.026638692860321698
0.004125,0.026638692860321698
0.004125,0.0267022696929239
0.004125,0.026744654247992033
0.004125,0.026765846525526098
0.00425,0.026765846525526098
0.00425,0.0268294233581283
0.004375,0.0268294233581283
0.004375,0.02699896157840083
0.0045,0.02699896157840083
0.0045,0.02860957467098989
0.0045,0.028651959226058024
0.0045,0.02875792061372836
0.004625,0.02875792061372836
0.004625,0.029287727552080024
0.004625,0.029330112107148157
0.004625,0.02979634221289762
0.004625,0.029838726767965753
0.004625,0.031682454913429546
0.00475,0.031682454913429546
0.00475,0.03216987729671308
0.00475,0.032212261851781214
0.00475,0.03301756839807574
0.004875,0.03301756839807574
0.004875,0.03310233750821201
0.004875,0.03314472206328014
0.004875,0.03388645177697247
0.005,0.03388645177697247
0.005,0.03458579693559667
0.005,0.0346281814906648
0.005,0.03536991120435713
0.005125,0.03536991120435713
0.005125,0.036090448640515395
0.005125,0.03613283319558353
0.005125,0.03638714052599233
0.00525,0.03638714052599233
0.00525,0.038103715006251725
0.005375,0.038103715006251725
0.005375,0.039396443935829785
0.005375,0.039438828490897915
0.005375,0.039905058596647384
0.0055,0.039905058596647384
0.0055,0.04073155742047598
0.005625,0.04073155742047598
0.005625,0.04079513425307818
0.00575,0.04079513425307818
0.00575,0.04266005467607604
0.005875,0.04266005467607604
0.005875,0.04285078517388264
0.005875,0.04289316972895077
0.005875,0.043486553499904636
0.006,0.043486553499904636
0.006,0.04391039905058597
0.006125,0.04391039905058597
0.006125,0.0440163604382563
0.00625,0.0440163604382563
0.00625,0.044058744993324434
0.00625,0.04460974420921016
0.00625,0.0446521287642783
0.00625,0.04488524381715303
0.006375,0.04488524381715303
0.006375,0.04590247313878822
0.006375,0.04594485769385636
0.006375,0.04626274185686736
0.0065,0.04626274185686736
0.0065,0.04704685612562782
0.006625,0.04704685612562782
0.006625,0.047110432958230024
0.00675,0.047110432958230024
0.00675,0.04740712484370695
0.00675,0.04744950939877508
0.00675,0.047640239896581685
0.006875,0.047640239896581685
0.006875,0.047936931782058614
0.006875,0.04797931633712675
0.006875,0.04800050861466082
0.007,0.04800050861466082
0.007,0.048636276940682815
0.007125,0.048657469218216884
0.007125,0.04874223832835315
0.007125,0.04878462288342128
0.00725,0.04878462288342128
0.00725,0.04906012249136415
0.007375,0.04906012249136415
0.007375,0.049653506262318015
0.0075,0.049653506262318015
0.0075,0.05005615953546528
0.007625,0.05005615953546528
0.007625,0.050183313200669676
0.00775,0.050183313200669676
0.00775,0.05107338885710047
0.00775,0.05111577341216861
0.00775,0.05177273401572467
0.007875,0.05177273401572467
0.007875,0.052789963337359865
0.008,0.052789963337359865
0.008,0.05285354016996206
0.008125,0.05285354016996206
0.008125,0.0528959247250302
0.00825,0.0528959247250302
0.00825,0.053023078390234596
0.00825,0.05306546294530273
0.00825,0.0534045393858478
0.008375,0.0534045393858478
0.008375,0.05395553860173353
0.0085,0.05395553860173353
0.0085,0.0542310382096764
0.0085,0.054273422764744526
0.0085,0.054803229703096194
0.0085,0.054845614258164324
0.0085,0.055142306143641254
0.008625,0.055142306143641254
0.008625,0.055396613474050053
0.008625,0.05543899802911819
0.008625,0.055587343971856655
0.00875,0.055587343971856655
0.00875,0.05615953546527645
0.00875,0.05620192002034459
0.00875,0.05626549685294679
0.008875,0.05626549685294679
0.008875,0.05823637866361498
0.008875,0.05827876321868311
0.008875,0.05849068599402378
0.009,0.05849068599402378
0.009,0.05933837709538644
0.009125,0.05933837709538644
0.009125,0.06001652997647657
0.00925,0.06001652997647657
