precision,recall
0.8550383242430283,1.0
0.8550538179973182,1.0
0.8550693123131285,1.0
0.85508480719049,1.0
0.8551003026294329,1.0
0.855115798629988,1.0
0.8551467923160565,1.0
0.855162290001631,1.0
0.8551777882489398,1.0
0.8551932870580133,1.0
0.8552087864288821,1.0
0.8552242863615768,1.0
0.8552397868561279,1.0
0.8552552879125659,1.0
0.8552707895309215,1.0
0.855286291711225,1.0
0.8553172977577987,1.0
0.85533280162413,1.0
0.8553483060525314,1.0
0.8553638110430337,1.0
0.8553793165956676,1.0
0.8553948227104633,1.0
0.8553922012943459,0.999978807722466
0.8554077082049237,0.999978807722466
0.8554232156777434,0.999978807722466
0.855469741469959,0.999978807722466
0.8554671211269649,0.9999576154449319
0.855464500688955,0.9999364231673978
0.8554800108784335,0.9999364231673978
0.8554955216303441,0.9999364231673978
0.8555110329447174,0.9999364231673978
0.855503173164098,0.9998728463347956
0.8555186857422619,0.9998728463347956
0.8555341988830057,0.9998728463347956
0.8555497125863601,0.9998728463347956
0.8555652268523556,0.9998728463347956
0.8555807416810227,0.9998728463347956
0.8555781227332075,0.9998516540572615
0.8555936383584498,0.9998516540572615
0.8556091545464437,0.9998516540572615
0.8556246712972199,0.9998516540572615
0.8556401886108088,0.9998516540572615
0.8556375705036363,0.9998304617797275
0.855653088614023,0.9998304617797275
0.8556686072873025,0.9998304617797275
0.855665989553105,0.9998092695021934
0.8556815090233064,0.9998092695021934
0.8556788914281569,0.9997880772246593
0.8556762737380517,0.9997668849471253
0.8556736559529856,0.9997456926695912
0.8556710380729535,0.9997245003920572
0.8556865590422638,0.9997245003920572
0.8557020805746521,0.9997245003920572
0.8557176026701495,0.9997245003920572
0.8557331253287862,0.9997245003920572
0.8557486485505932,0.9997245003920572
0.8557460317460317,0.999703308114523
0.8557434148465278,0.999682115836989
0.8557407978520762,0.9996609235594549
0.8557563223395378,0.9996609235594549
0.8557537054842982,0.9996397312819209
0.8557510885341074,0.9996185390043868
0.8557666140532303,0.9996185390043868
0.8557821401357089,0.9996185390043868
0.8557795235589746,0.9995973467268527
0.855795050439074,0.9995973467268527
0.8558105778826091,0.9995973467268527
0.8558053453813075,0.9995549621717846
0.8558208738568732,0.9995549621717846
0.8558364028959736,0.9995549621717846
0.8558519324986391,0.9995549621717846
0.8558493168085067,0.9995337698942506
0.8558648472091166,0.9995337698942506
0.85586223165841,0.9995125776167164
0.8558596160127754,0.9994913853391824
0.8558751474457853,0.9994913853391824
0.8558620689655172,0.9993854239515121
0.85587760213434,0.9993854239515121
0.8558931358670007,0.9993854239515121
0.8558905203550102,0.999364231673978
0.8559060548860171,0.999364231673978
0.8559034395135675,0.999343039396444
0.8559345107363912,0.999343039396444
0.855950047193785,0.999343039396444
0.8559655842152075,0.999343039396444
0.8559629696859684,0.9993218471189099
0.8559603550618091,0.9993006548413758
0.8559758931164682,0.9993006548413758
0.8559732786319821,0.9992794625638417
0.8559888174853865,0.9992794625638417
0.8560043569029682,0.9992794625638417
0.8560017427928255,0.9992582702863076
0.8560172830092769,0.9992582702863076
0.8560483651349831,0.9992582702863076
0.8560457516339869,0.9992370780087736
0.856061293778028,0.9992370780087736
0.8560768364864374,0.9992370780087736
0.8560923797592461,0.9992370780087736
0.8561079235964849,0.9992370780087736
0.8561390129643752,0.9992370780087736
0.8561364007771504,0.9992158857312395
0.8561519465427078,0.9992158857312395
0.8561674928728369,0.9992158857312395
0.8561622691532441,0.9991735011761714
0.8561596571511586,0.9991523088986374
0.8561570450542066,0.9991311166211033
0.8561518205756833,0.9990887320660351
0.8561673688798489,0.9990887320660351
0.8561829177487605,0.9990887320660351
0.856133146792158,0.9985589251276835
0.856148702667345,0.9985589251276835
0.8561642591078404,0.9985589251276835
0.8561590318536151,0.9985165405726153
0.8561564180840239,0.9984953482950812
0.8561719757954608,0.9984953482950812
0.8561693621660912,0.9984741560175472
0.8561667484417307,0.9984529637400131
0.8561823071890674,0.9984529637400131
0.8561796936049576,0.9984317714624791
0.8561952531530549,0.9984317714624791
0.8562108132666969,0.9984317714624791
0.8562082000581565,0.998410579184945
0.8562237609726842,0.998410579184945
0.8562211479044746,0.998389386907411
0.8562367096199632,0.998389386907411
0.8562340966921119,0.9983681946298769
0.8562314836692779,0.9983470023523429
0.8562470464211712,0.9983470023523429
0.8562444335387244,0.9983258100748087
0.8562418205612913,0.9983046177972746
0.8562573843497228,0.9983046177972746
0.8562547715127059,0.9982834255197406
0.8562521585806991,0.9982622332422065
0.8562677234058024,0.9982622332422065
0.8562651106142408,0.9982410409646725
0.8562806762406835,0.9982410409646725
0.8562780635895945,0.9982198486871384
0.856293630017452,0.9982198486871384
0.8562910175068628,0.9981986564096044
0.8563065847362106,0.9981986564096044
0.8562987473410542,0.9981350795770021
0.8562961346860114,0.998113887299468
0.8562909090909091,0.9980715027443999
0.8563064782996055,0.9980715027443999
0.8563220480744754,0.9980715027443999
0.8563194356055784,0.9980503104668659
0.8563168230416758,0.9980291181893318
0.8563479652325708,0.9980291181893318
0.856379109688682,0.9980291181893318
0.8563946827662708,0.9980291181893318
0.8563764004073913,0.9978807722465933
0.8563919757015805,0.9978807722465933
0.8563893637917864,0.9978595799690593
0.856386751786981,0.9978383876915252
0.8563815274923152,0.9977960031364571
0.8563971042962639,0.9977960031364571
0.8563944922422104,0.9977748108589231
0.8563918800931315,0.9977536185813889
0.8563892678490223,0.9977324263038548
0.8563866555098774,0.9977112340263208
0.8563840430756917,0.9976900417487867
0.8563996216255548,0.9976900417487867
0.8564152007422096,0.9976900417487867
