fpr,tpr
0.0,0.0
0.000125,0.0
0.000125,1.0596026490066225e-05
0.000125,3.178807947019867e-05
0.000125,4.23841059602649e-05
0.000125,0.00020132450331125827
0.000375,0.00020132450331125827
0.000375,0.0002119205298013245
0.000625,0.0002119205298013245
0.000625,0.0002543046357615894
0.00075,0.0002543046357615894
0.00075,0.0002754966887417219
0.00075,0.0004450331125827815
0.00075,0.0004556291390728477
0.00075,0.00048741721854304637
0.00075,0.0005509933774834438
0.00075,0.0006039735099337748
0.00075,0.0006569536423841059
0.00075,0.0006887417218543046
0.00075,0.0008158940397350994
0.00075,0.0008264900662251656
0.00075,0.000847682119205298
0.00075,0.0009112582781456954
0.00075,0.0009960264900662251
0.00075,0.0011655629139072847
0.000875,0.0011655629139072847
0.000875,0.0011867549668874173
0.001,0.0011867549668874173
0.001,0.0011973509933774834
0.001125,0.0011973509933774834
0.001125,0.001229139072847682
0.001125,0.0012927152317880795
0.001375,0.0012927152317880795
0.0015,0.0012927152317880795
0.0015,0.0013245033112582781
0.001625,0.0013245033112582781
0.001625,0.0013562913907284768
0.001625,0.0013774834437086092
0.00175,0.0013774834437086092
0.00175,0.001409271523178808
0.00175,0.001451655629139073
0.00175,0.0014834437086092716
0.00175,0.0017483443708609272
0.001875,0.0017483443708609272
0.001875,0.001780132450331126
0.001875,0.0018013245033112583
0.001875,0.0019284768211920529
0.001875,0.0019602649006622516
0.001875,0.002214569536423841
0.002,0.002214569536423841
0.002,0.0022887417218543046
0.002,0.0023205298013245033
0.002,0.002458278145695364
0.002,0.002490066225165563
0.002,0.0025642384105960263
0.002125,0.0025642384105960263
0.002125,0.0032635761589403975
0.00225,0.0032635761589403975
0.00225,0.0036344370860927153
0.00225,0.003666225165562914
0.00225,0.003931125827814569
0.002375,0.003931125827814569
0.002375,0.0044821192052980135
0.002375,0.004556291390728477
0.002375,0.004895364238410596
0.002375,0.004927152317880794
0.002375,0.005721854304635761
0.0025,0.005721854304635761
0.0025,0.005743046357615894
0.00275,0.005743046357615894
0.00275,0.0064211920529801325
0.002875,0.0064211920529801325
0.002875,0.007777483443708609
0.003,0.007777483443708609
0.003,0.009345695364238411
0.003,0.009366887417218544
0.003,0.010394701986754967
0.003,0.010415894039735099
0.003,0.010426490066225166
0.003125,0.010426490066225166
0.003125,0.012132450331125828
0.003125,0.01215364238410596
0.003125,0.012280794701986755
0.003125,0.012301986754966887
0.003125,0.012365562913907285
0.003125,0.01240794701986755
0.003125,0.01322384105960265
0.003125,0.013245033112582781
0.003125,0.013467549668874172
0.00325,0.013467549668874172
0.00325,0.013711258278145696
0.00325,0.013732450331125828
0.00325,0.01462251655629139
0.00325,0.014664900662251656
0.00325,0.015078145695364238
0.00325,0.015099337748344372
0.00325,0.0167523178807947
0.0035,0.0167523178807947
0.0035,0.01734569536423841
0.0035,0.017366887417218542
0.0035,0.017833112582781457
0.0035,0.01785430463576159
0.0035,0.018023841059602648
0.003625,0.018023841059602648
0.003625,0.018320529801324502
0.003625,0.018341721854304636
0.003625,0.0183523178807947
0.003625,0.018373509933774835
0.003625,0.01882913907284768
0.003625,0.018850331125827815
0.003625,0.01905165562913907
0.003625,0.019125827814569535
0.003625,0.01934834437086093
0.003625,0.01936953642384106
0.003625,0.019475496688741722
0.00375,0.019475496688741722
0.00375,0.01979337748344371
0.00375,0.01981456953642384
0.00375,0.020439735099337747
0.00375,0.02046092715231788
0.00375,0.020736423841059604
0.00375,0.020757615894039735
0.00375,0.02175364238410596
0.003875,0.02175364238410596
0.003875,0.022463576158940398
0.004,0.022474172185430463
0.004,0.023226490066225167
0.004,0.023247682119205297
0.004,0.023427814569536423
0.004,0.023449006622516557
0.004,0.024572185430463578
0.004,0.02459337748344371
0.004,0.02565298013245033
0.004125,0.02565298013245033
0.004125,0.02568476821192053
0.004125,0.025705960264900664
0.004125,0.025780132450331127
0.004125,0.025801324503311258
0.004125,0.026956291390728478
0.00425,0.026956291390728478
0.00425,0.027263576158940397
0.00425,0.02728476821192053
0.00425,0.028429139072847682
0.00425,0.028450331125827816
0.00425,0.028588079470198674
0.00425,0.028609271523178808
0.00425,0.02944635761589404
0.004375,0.02944635761589404
0.004375,0.02953112582781457
0.0045,0.02953112582781457
0.0045,0.029605298013245032
0.004625,0.029605298013245032
0.004625,0.03149139072847682
0.004625,0.03151258278145695
0.004625,0.032264900662251655
0.004625,0.032296688741721855
0.004625,0.03273112582781457
0.004625,0.0328476821192053
0.004625,0.03297483443708609
0.00475,0.03298543046357616
0.00475,0.03315496688741722
0.004875,0.03315496688741722
0.004875,0.03320794701986755
0.004875,0.033229139072847684
0.004875,0.03331390728476821
0.004875,0.033356291390728474
0.004875,0.03379072847682119
0.004875,0.03381192052980132
0.004875,0.03410860927152318
0.004875,0.03440529801324503
0.004875,0.034606622516556294
0.004875,0.034627814569536425
0.004875,0.03574039735099338
0.004875,0.03576158940397351
0.004875,0.0367364238410596
0.004875,0.03675761589403974
0.004875,0.03724503311258278
0.004875,0.03726622516556291
0.004875,0.037425165562913906
0.004875,0.03744635761589404
0.004875,0.03769006622516556
0.004875,0.0377112582781457
0.004875,0.03820927152317881
0.004875,0.03823046357615894
0.004875,0.038368211920529804
0.004875,0.038389403973509935
0.004875,0.039311258278145696
0.004875,0.039332450331125826
0.004875,0.03950198675496689
0.005,0.03950198675496689
0.005,0.04019072847682119
0.005,0.04022251655629139
0.005,0.04104900662251656
0.005,0.04108079470198676
0.005,0.04147284768211921
0.005125,0.04147284768211921
0.005125,0.04200264900662252
0.005125,0.04202384105960265
