epoch,train_loss,val_f1,val_auc
0,1.8335983753204346,0.6201934356995751,0.6015220033484507
1,1.7783935070037842,0.8547695116385212,0.5842290192006103
2,1.7470766305923462,0.635587750125511,0.5585115632814819
3,1.701744794845581,0.45284851428051115,0.46971363328105786
4,1.6704405546188354,0.39757349510032663,0.4460905777137286
5,1.644896388053894,0.662505485931633,0.5143890958123172
6,1.6197795867919922,0.7351210230541174,0.5900523089475691
7,1.5950982570648193,0.793991690635986,0.6551595150044504
8,1.5898383855819702,0.816597510373444,0.6912584903361165
9,1.5608141422271729,0.8271201033146793,0.7143691746492604
10,1.541855812072754,0.8256192467717248,0.7269135416225151
11,1.5219823122024536,0.8300555793073964,0.7181094418895435
12,1.502347707748413,0.8251308009698414,0.6905313043063621
13,1.4937350749969482,0.8118115772205297,0.6606274080235663
14,1.4826843738555908,0.8179761853954163,0.6399364695036663
15,1.4632153511047363,0.8252146543048626,0.6409975204509812
16,1.4490032196044922,0.6548281343135307,0.6211558936972831
17,1.4302306175231934,0.6019276608975024,0.6001370374687408
18,1.4188989400863647,0.5817741000368946,0.5715960984190225
19,1.4123202562332153,0.5362856292125707,0.5172903244606452
20,1.3854165077209473,0.5021748828909213,0.4726683709151019
21,1.3731787204742432,0.4774557165861514,0.4622748087356419
22,1.3584527969360352,0.45842154787108913,0.4610312036409104
23,1.3477420806884766,0.42911135971940856,0.465246058152842
24,1.3371039628982544,0.410902498233107,0.46921124645021833
25,1.3176870346069336,0.39571726477637026,0.47888620300512863
26,1.3014134168624878,0.3905095780643546,0.4911329578688594
27,1.2936787605285645,0.3837385061090817,0.49429788231678884
28,1.2755100727081299,,
29,1.2572672367095947,,
30,1.2531728744506836,,
31,1.227564811706543,,
32,1.2166846990585327,,
33,1.2053160667419434,,
34,1.1905384063720703,,
35,1.187699317932129,,
36,1.1649603843688965,,
37,1.1425070762634277,,
38,1.1353163719177246,,
39,1.1162524223327637,,
40,1.1189841032028198,,
41,1.0849473476409912,,
42,1.0727784633636475,,
43,1.0605928897857666,,
44,1.062493085861206,,
45,1.0389972925186157,,
46,1.0355923175811768,,
47,1.0055663585662842,,
48,0.9945385456085205,,
49,0.9882088899612427,,
50,0.9731622934341431,,
51,0.9544522166252136,,
52,0.9460827112197876,,
53,0.9437016248703003,,
54,0.9114972949028015,,
55,0.8927555084228516,,
56,0.897599458694458,,
57,0.8907095193862915,,
58,0.8690390586853027,,
59,0.8591911792755127,,
60,0.831421971321106,,
61,0.8321517109870911,,
62,0.8069815039634705,,
63,0.8038156628608704,,
64,0.7949069738388062,,
65,0.782232940196991,,
66,0.7818738222122192,,
67,0.7827746868133545,,
68,0.7808016538619995,,
69,0.768966555595398,,
70,0.7490119934082031,,
71,0.7392534017562866,,
72,0.7540550231933594,,
73,0.735096275806427,,
74,0.7323470711708069,,
75,0.7262030839920044,,
76,0.7053759098052979,,
77,0.7000979781150818,,
78,0.696006178855896,,
79,0.699496865272522,,
